Altona Pier,"Flathead, Whiting",Fishing is allowed,Port Phillip Bay,-37.87140785063800000,144.8311599078800
Anderson Inlet,"King George whiting, pinkie snapper, silver trevally, Australian salmon",Fishing is allowed,Gippsland,-38.64840287923900000,145.7888130160000
Bancroft Bay,"bream, garfish, mullet, flathead",Fishing is allowed,Gippsland,-37.88355937738900000,147.8713590920900
Bass River,"bream, estuary perch, mullet",Fishing is allowed,Western Port Bay,-38.46488427189700000,145.5146857076900
"Bell Reef at Shortland Bluff, Queenscliff","trevally, Australian salmon",Fishing is allowed,Port Phillip Bay,-38.27543318696500000,144.6655074200600
Bemm River,"flathead, bream, bass, estuary perch",Fishing is allowed,Gippsland,-37.74657538840000000,148.9769299443700
Between Bullock and Rigby Islands,"snapper, mulloway",Fishing is allowed,Gippsland,-37.88576016707300000,147.9674441710100
Blairgowrie Pier,Snapper,Fishing is allowed,Port Phillip Bay,-38.35716109070700000,144.7747046118000
Blakes channels ,"whiting, snapper",Fishing is allowed,Western Port Bay,-38.39923523721100000,145.3006720600300
Bob's Bay,bream,Fishing is allowed,Gippsland,-37.75390480346600000,148.9751054914200
Bullock Island,"Australian salmon, tailor, bream, luderick",Fishing is allowed,Gippsland,-37.88457643313100000,147.9706665655300
Cape Conran,"flathead, Australian salmon, tailor, gummy shark",Fishing is allowed,Gippsland,-37.80030772036600000,148.7428382120600
Capel Sound,"flathead, snapper, whiting",Fishing is allowed,Port Phillip Bay,-38.36152169868000000,144.8705534031700
Cat Bay,"whiting, squid, snapper",Fishing is allowed,Western Port Bay,-38.50205465408400000,145.1331929278900
Channels off Rhyll,"whiting, flathead",Fishing is allowed,Western Port Bay,-38.46624266445100000,145.3561863822600
Cockyanes Channel,"whiting, flathead, mullet, snapper, gummy shark",Fishing is allowed,Western Port Bay,-38.26257582157100000,145.3687121986400
Corinella Jetty,"snapper, whiting",Fishing is allowed,Western Port Bay,-38.40754469763300000,145.4247167624700
Cowes Pier,various,Fishing is allowed,Western Port Bay,-38.44606653278700000,145.2404067125200
Crawfish Rock,"snapper, gummy shark",Fishing is allowed,Western Port Bay,-38.27011059820900000,145.3024945866700
Cunningham Pier,"Australian salmon, bream, snapper",Fishing is allowed,Port Phillip Bay,-38.14242683063500000,144.3621564276500
Dromana Pier,"flathead, flounder",Fishing is allowed,Port Phillip Bay,-38.33179555773400000,144.9650211191300
Entrance Channel,"tailor, bream, luderick, Australian salmon, mullet, silver trevally",Fishing is allowed,Gippsland,-33.34142318666300000,151.5003759159000
Flinders Pier,Withing,Fishing is allowed,Western Port Bay,-38.47531747967400000,145.0258847859600
Gabo Island,"Australian salmon, tailor, yellowtail kingfish, gummy shark",Fishing is allowed,Gippsland,-37.56195090258600000,149.9115218812300
Gem Pier ,"bream, mullet",Fishing is allowed,Port Phillip Bay,-37.86204646530300000,144.9054285791400
Genoa River,"bream, estuary perch, bass",Fishing is allowed,Gippsland,-37.47931750855800000,149.6750209388900
Inverloch Boat Ramp,"King George whiting, pinkie snapper, silver trevally, Australian salmon",Fishing is allowed,Gippsland,-38.63566160570200000,145.7342062600800
Jemmys Point,luderick,Fishing is allowed,Gippsland,-37.88057300010700000,147.9640339534400
Joe's Island,"snapper, gummy shark, bronze whaler shark",Fishing is allowed,Western Port Bay,-38.28564162983000000,145.3658343099900
John Bull Light,"flathead, snapper, bream",Fishing is allowed,Gippsland,-37.53914275892100000,149.7741284417100
Kalimna Jetty,"luderick, barracouta, flathead, mullet, bream, silver trevally, snapper, Australian salmon, tailor",Fishing is allowed,Gippsland,-37.87825872235200000,147.9545597224300
Kitty Miller Bay Beach,"silver trevally, Australian salmon",Fishing is allowed,Western Port Bay,-38.50987191691800000,145.1704675396000
Lagoon Pier,"flathead, bream, mullet, garfish",Fishing is allowed,Port Phillip Bay,-37.84568504474600000,144.9394958183600
Lake Eildon,"Trout, Redfin ( English Perch ), Yellowbelly ( Golden Perch ), Murray Cod, Carp",Fishing is allowed,Edion Lake,-37.18477948163700000,145.8787333319700
Limeburners Bay,"snapper, mullet, flathead, bream, flounder",Fishing is allowed,Port Phillip Bay,-38.07163403375000000,144.4088822896200
Manns Beach,"whiting, flathead, Australian salmon, pike, snook",Fishing is allowed,Gippsland,-38.64585753809900000,146.7860024883900
Metung to Tambo Bluff,"snapper, flathead, bream, tailor",Fishing is allowed,Gippsland,-37.87576588495900000,147.8174968211100
Mordialloc Pier,"bream, mullet",Fishing is allowed,Port Phillip Bay,-38.01104766353100000,145.0842618342200
Mornington Pier,"flathead, snapper, whiting, garfish",Fishing is allowed,Port Phillip Bay,-38.21280222428000000,145.0341440834700
